claim_id,employee_id,receipt_id,submitted_at,status,claimed_amount,category,decided_at,duplicate_of,dup_type
C00001,E006,R00001,2025-01-17T14:00:00,UNDER_REVIEW,485.00,grocery,,,
C00002,E014,R00002,2025-02-08T12:00:00,APPROVED,1445.00,grocery,2025-02-11T12:00:00,,
C00003,E018,R00003,2025-01-13T17:00:00,UNDER_REVIEW,6264.00,stationery,,,
C00004,E012,R00004,2025-01-28T15:00:00,REJECTED,18554.00,printing,2025-02-03T15:00:00,,
C00005,E007,R00005,2025-05-02T15:00:00,SUBMITTED,2171.00,food,,,
C00006,E025,R00006,2025-02-28T18:00:00,APPROVED,368.00,grocery,2025-03-03T18:00:00,,
C00007,E014,R00007,2025-04-13T12:00:00,SUBMITTED,3236.00,grocery,,,
C00008,E009,R00008,2025-05-25T18:00:00,REJECTED,2930.00,grocery,2025-05-31T18:00:00,,
C00009,E014,R00009,2025-07-10T17:00:00,REJECTED,1426.00,food,2025-07-14T17:00:00,,
C00010,E007,R00010,2025-05-15T16:00:00,SUBMITTED,1203.00,stationery,,,
C00011,E020,R00011,2025-07-30T18:00:00,SUBMITTED,1867.00,stationery,,,
C00012,E024,R00012,2025-03-24T17:00:00,SUBMITTED,3081.00,grocery,,,
C00013,E024,R00013,2025-06-12T14:00:00,SUBMITTED,8577.00,travel,,,
C00014,E003,R00014,2025-06-24T12:00:00,APPROVED,1634.00,fuel,2025-06-26T12:00:00,,
C00015,E008,R00015,2025-06-11T11:00:00,SUBMITTED,15883.00,hardware,,,
C00016,E005,R00016,2025-02-01T13:00:00,APPROVED,1677.00,food,2025-02-02T13:00:00,,
C00017,E008,R00017,2025-04-22T13:00:00,APPROVED,3895.00,fuel,2025-04-26T13:00:00,,
C00018,E024,R00018,2025-03-09T17:00:00,REJECTED,2626.00,grocery,2025-03-17T17:00:00,,
C00019,E023,R00019,2025-03-11T10:00:00,APPROVED,9340.00,printing,2025-03-15T10:00:00,,
C00020,E007,R00020,2025-05-10T18:00:00,UNDER_REVIEW,31454.00,hotel,,,
C00021,E008,R00021,2025-07-11T14:00:00,REJECTED,2424.00,food,2025-07-12T14:00:00,,
C00022,E008,R00022,2025-05-25T17:00:00,APPROVED,29840.00,hotel,2025-05-27T17:00:00,,
C00023,E025,R00023,2025-09-11T18:00:00,REJECTED,1567.00,food,2025-09-17T18:00:00,,
C00024,E020,R00024,2025-07-25T09:00:00,APPROVED,4730.00,fuel,2025-07-27T09:00:00,,
C00025,E005,R00025,2025-07-02T18:00:00,SUBMITTED,1661.00,grocery,,,
