claim_a,claim_b,dup_type,label
C00231,C00426,PHOTO_REUSE,1
C00409,C00427,PHOTO_REUSE,1
C00272,C00428,PHOTO_REUSE,1
C00401,C00429,PHOTO_REUSE,1
C00036,C00430,PHOTO_REUSE,1
C00413,C00431,PHOTO_REUSE,1
C00258,C00432,PHOTO_REUSE,1
C00137,C00433,PHOTO_REUSE,1
C00152,C00434,PHOTO_REUSE,1
C00106,C00435,PHOTO_REUSE,1
C00152,C00436,PHOTO_REUSE,1
C00199,C00437,PHOTO_REUSE,1
C00246,C00438,PHOTO_REUSE,1
C00256,C00439,PHOTO_REUSE,1
C00420,C00440,PHOTO_REUSE,1
C00249,C00441,PHOTO_REUSE,1
C00050,C00442,PHOTO_REUSE,1
C00003,C00443,PHOTO_REUSE,1
C00337,C00444,PHOTO_REUSE,1
C00198,C00445,PHOTO_REUSE,1
C00054,C00446,PHOTO_REUSE,1
C00303,C00447,PHOTO_REUSE,1
C00364,C00448,PHOTO_REUSE,1
C00060,C00449,PHOTO_REUSE,1
C00374,C00450,PHOTO_REUSE,1
C00294,C00451,PHOTO_REUSE,1
C00305,C00452,PHOTO_REUSE,1
C00254,C00453,PHOTO_REUSE,1
C00232,C00454,PHOTO_REUSE,1
C00218,C00455,PHOTO_REUSE,1
C00304,C00456,RETYPED,1
C00400,C00457,RETYPED,1
C00181,C00458,RETYPED,1
C00290,C00459,RETYPED,1
C00268,C00460,RETYPED,1
C00102,C00461,RETYPED,1
C00188,C00462,RETYPED,1
C00137,C00463,RETYPED,1
C00121,C00464,RETYPED,1
C00159,C00465,RETYPED,1
C00265,C00466,RETYPED,1
C00381,C00467,RETYPED,1
C00391,C00468,RETYPED,1
C00166,C00469,RETYPED,1
C00193,C00470,RETYPED,1
C00228,C00471,RETYPED,1
C00254,C00472,RETYPED,1
C00373,C00473,RETYPED,1
C00096,C00474,RETYPED,1
C00353,C00475,RETYPED,1
C00091,C00476,SPLIT,1
C00091,C00477,SPLIT,1
C00315,C00478,SPLIT,1
C00315,C00479,SPLIT,1
C00174,C00480,SPLIT,1
C00174,C00481,SPLIT,1
C00241,C00482,SPLIT,1
C00241,C00483,SPLIT,1
C00199,C00484,SPLIT,1
C00199,C00485,SPLIT,1
C00291,C00486,SPLIT,1
C00291,C00487,SPLIT,1
C00181,C00488,SPLIT,1
C00181,C00489,SPLIT,1
C00016,C00490,SPLIT,1
C00016,C00491,SPLIT,1
C00056,C00492,SPLIT,1
C00056,C00493,SPLIT,1
C00381,C00494,RESUBMIT_AFTER_REJECT,1
C00104,C00495,RESUBMIT_AFTER_REJECT,1
C00115,C00496,RESUBMIT_AFTER_REJECT,1
C00089,C00497,RESUBMIT_AFTER_REJECT,1
C00239,C00498,RESUBMIT_AFTER_REJECT,1
C00032,C00499,RESUBMIT_AFTER_REJECT,1
C00176,C00500,RESUBMIT_AFTER_REJECT,1
C00117,C00501,RESUBMIT_AFTER_REJECT,1
C00379,C00502,RESUBMIT_AFTER_REJECT,1
C00008,C00503,RESUBMIT_AFTER_REJECT,1
C00315,C00504,HARD_NEGATIVE,0
C00156,C00505,HARD_NEGATIVE,0
C00240,C00506,HARD_NEGATIVE,0
C00270,C00507,HARD_NEGATIVE,0
C00411,C00508,HARD_NEGATIVE,0
