receipt_id,image_path,text_path,vendor_name,vendor_canonical,gstin,invoice_no,date,subtotal,cgst,sgst,igst,cess,round_off,total,template_id,noise_tier,rotation_deg
P00001,,receipts_text/P00001.txt,Bharat Petroleum Outlet,V003,24NWTJV2610V1ZG,6959866201162128,2026-05-31,,,,,,,2165.76,pump-plain,1,0.0
P00002,,receipts_text/P00002.txt,Shell Select Fuel Point,V017,,35336630780100,2025-02-27,842.01,,,,,,985.15,pump-vat,0,0.0
P00003,,receipts_text/P00003.txt,Konark Oil,Konark Oil,,46394802422322,2026-04-25,,,,,,,1030.57,pump-plain,0,0.0
P00004,,receipts_text/P00004.txt,Bharat Petroleum Outlet,V003,,6657593767082709,2025-11-30,,,,,,,300,pump-plain,0,0.0
P00005,,receipts_text/P00005.txt,Indian Oil Fuel Station,V008,36AFKGM9528W1ZN,615541988787466,2025-10-05,,,,,,,3000,pump-plain,0,0.0
P00006,,receipts_text/P00006.txt,Nayara Energy Outlet,V022,24VTNLH3537C1ZL,5187065482336,2025-06-08,2123.44,191.11,191.11,,,,2505.66,pump-gst,2,0.0
P00007,,receipts_text/P00007.txt,VAYU FUELS,VAYU FUELS,24VKDFT0636R1ZP,45258778909208,2026-02-03,,,,,,,2500,pump-plain,3,0.0
P00008,,receipts_text/P00008.txt,Indian Oil Fuel Station,V008,33BBKNM3243R1ZB,2031160907523,2026-01-17,,,,,,,3662.85,pump-plain,2,0.0
P00009,,receipts_text/P00009.txt,SAHYADRI ENERGY,SAHYADRI ENERGY,19BLJTC9662A1ZV,493821098693,2026-06-28,635.59,57.21,57.20,,,,750,pump-gst,0,0.0
P00010,,receipts_text/P00010.txt,Nayara Energy Outlet,V022,24RASPG0491J1Z2,2096570613019008,2025-02-05,2118.64,190.68,190.68,,,,2500,pump-gst,0,0.0
P00011,,receipts_text/P00011.txt,Indian Oil Fuel Station,V008,07CSVWP4534A1Z5,474133757577,2026-07-12,169.48,15.26,15.26,,,,200,pump-gst,0,0.0
P00012,,receipts_text/P00012.txt,Hindustan Petroleum Outlet,V021,,310558462392,2026-05-31,,,,,,,2000,pump-plain,1,0.0
P00013,,receipts_text/P00013.txt,SAHYADRI ENERGY,SAHYADRI ENERGY,33HBFTA1322C1ZD,265841821190086,2025-07-30,3406.74,,,,,,3985.89,pump-vat,0,0.0
P00014,,receipts_text/P00014.txt,VAYU FUELS,VAYU FUELS,,269255365140464,2025-08-05,754.20,,,,,,882.41,pump-vat,0,0.0
P00015,,receipts_text/P00015.txt,SAHYADRI ENERGY,SAHYADRI ENERGY,,3810058950475968,2025-11-27,,,,,,,1788.34,pump-plain,2,0.0
P00016,,receipts_text/P00016.txt,NILGIRI ENERGY,NILGIRI ENERGY,,02733350357222836,2025-05-07,,,,,,,100,pump-plain,2,0.0
P00017,,receipts_text/P00017.txt,KAVERI PETRO,KAVERI PETRO,27GTTPA0719V1ZQ,7824342520465623,2026-05-13,84.75,7.63,7.62,,,,100,pump-gst,0,0.0
P00018,,receipts_text/P00018.txt,Nayara Energy Outlet,V022,09BVRHF1242L1ZR,6960487089703278,2025-12-31,2542.37,228.82,228.81,,,,3000,pump-gst,1,0.0
P00019,,receipts_text/P00019.txt,Hindustan Petroleum Outlet,V021,,3973610664658794,2025-03-02,,,,,,,4060.72,pump-plain,2,0.0
P00020,,receipts_text/P00020.txt,NILGIRI ENERGY,NILGIRI ENERGY,,2122551838124099,2025-05-22,,,,,,,1500,pump-plain,2,0.0
P00021,,receipts_text/P00021.txt,KAVERI PETRO,KAVERI PETRO,09FUEMS9835V1Z7,00164125743692119,2025-05-20,,,,,,,590,pump-plain,3,0.0
P00022,,receipts_text/P00022.txt,Indian Oil Fuel Station,V008,,32648715689618559,2026-04-11,,,,,,,410.60,pump-plain,3,0.0
P00023,,receipts_text/P00023.txt,KAVERI PETRO,KAVERI PETRO,09LMSAK0535K1Z7,786589559588979,2025-06-28,,,,,,,500,pump-plain,0,0.0
P00024,,receipts_text/P00024.txt,Konark Oil,Konark Oil,36CJLTK0831J1ZW,38746127612182,2025-02-19,635.59,57.21,57.20,,,,750,pump-gst,2,0.0
P00025,,receipts_text/P00025.txt,Bharat Petroleum Outlet,V003,,58571907126751714,2025-08-29,,,,,,,2000,pump-plain,1,0.0
P00026,,receipts_text/P00026.txt,Indian Oil Fuel Station,V008,27FAKKD9764L1Z7,3520197075799949,2025-03-17,2118.64,190.68,190.68,,,,2500,pump-gst,3,0.0
P00027,,receipts_text/P00027.txt,VAYU FUELS,VAYU FUELS,,389615624787438,2025-12-21,170.94,,,,,,200,pump-vat,0,0.0
P00028,,receipts_text/P00028.txt,Nayara Energy Outlet,V022,,945503894307,2025-12-31,,,,,,,3979.06,pump-plain,2,0.0
P00029,,receipts_text/P00029.txt,Bharat Petroleum Outlet,V003,27LAERS5884L1ZH,83571985217687,2025-10-26,,,,,,,1500,pump-plain,0,0.0
P00030,,receipts_text/P00030.txt,Bharat Petroleum Outlet,V003,07JMFDC4180V1ZX,4337033573638,2026-03-06,84.74,7.63,7.63,,,,100,pump-gst,2,0.0
P00031,,receipts_text/P00031.txt,Nayara Energy Outlet,V022,07CKCHA5717D1Z5,945918985205945,2026-03-30,84.75,7.63,7.62,,,,100,pump-gst,2,0.0
P00032,,receipts_text/P00032.txt,KAVERI PETRO,KAVERI PETRO,24CSMDF3489C1ZF,50912159522761387,2025-07-04,635.58,57.21,57.21,,,,750,pump-gst,0,0.0
P00033,,receipts_text/P00033.txt,Indian Oil Fuel Station,V008,24TJANS4394H1ZM,385482663539963,2025-08-28,254.24,22.88,22.88,,,,300,pump-gst,2,0.0
P00034,,receipts_text/P00034.txt,Shell Select Fuel Point,V017,19ALJLD7965G1ZX,6998137830427599,2025-08-27,2649.38,238.45,238.44,,,,3126.27,pump-gst,1,0.0
P00035,,receipts_text/P00035.txt,Indian Oil Fuel Station,V008,,35581518953828,2025-07-12,854.70,,,,,,1000,pump-vat,3,0.0
P00036,,receipts_text/P00036.txt,Hindustan Petroleum Outlet,V021,09NHKFM2683N1ZT,58929096041655785,2025-12-25,1271.19,114.41,114.40,,,,1500,pump-gst,0,0.0
P00037,,receipts_text/P00037.txt,Shell Select Fuel Point,V017,09UDGBV6777N1ZM,818302485421226,2025-10-18,500.00,45.00,45.00,,,,590,pump-gst,0,0.0
P00038,,receipts_text/P00038.txt,Shell Select Fuel Point,V017,09GNKND4207K1ZX,5871263322156,2025-03-27,1808.95,162.81,162.81,,,,2134.57,pump-gst,1,0.0
P00039,,receipts_text/P00039.txt,Shell Select Fuel Point,V017,29VKCFM6396E1ZT,2943732692560,2025-07-12,2542.37,228.82,228.81,,,,3000,pump-gst,0,0.0
P00040,,receipts_text/P00040.txt,NILGIRI ENERGY,NILGIRI ENERGY,,8578506117873,2025-07-29,2564.10,,,,,,3000,pump-vat,2,0.0
P00041,,receipts_text/P00041.txt,Indian Oil Fuel Station,V008,,65952543669859910,2026-04-30,937.30,,,,,,1096.64,pump-vat,1,0.0
P00042,,receipts_text/P00042.txt,GANGA PETROCHEM,GANGA PETROCHEM,,68541757873724,2026-01-16,,,,,,,1832.46,pump-plain,0,0.0
P00043,,receipts_text/P00043.txt,Indian Oil Fuel Station,V008,,85045167361178,2025-07-23,,,,,,,1500,pump-plain,2,0.0
P00044,,receipts_text/P00044.txt,SAHYADRI ENERGY,SAHYADRI ENERGY,,88826082580890321,2025-04-13,,,,,,,3000,pump-plain,0,0.0
P00045,,receipts_text/P00045.txt,Bharat Petroleum Outlet,V003,07KETCS3926R1ZT,930745321150190,2026-02-04,547.13,,,,,,640.14,pump-vat,3,0.0
P00046,,receipts_text/P00046.txt,Indian Oil Fuel Station,V008,,186109395636050,2025-03-05,,,,,,,3205.60,pump-plain,2,0.0
P00047,,receipts_text/P00047.txt,Nayara Energy Outlet,V022,33RMNBN0204C1Z1,132678229535,2026-03-25,,,,,,,3000,pump-plain,1,0.0
P00048,,receipts_text/P00048.txt,Indian Oil Fuel Station,V008,,17549968650213136,2025-02-25,,,,,,,200,pump-plain,1,0.0
P00049,,receipts_text/P00049.txt,Indian Oil Fuel Station,V008,07DCDPS0562R1ZZ,2650514655807,2025-11-04,169.49,15.26,15.25,,,,200,pump-gst,0,0.0
P00050,,receipts_text/P00050.txt,Hindustan Petroleum Outlet,V021,09MKUFT1180J1ZO,24353712288556,2025-11-01,1271.18,114.41,114.41,,,,1500,pump-gst,0,0.0
