receipt_id,line_no,text,role
R00001,0,RELIANCE FRESH SUPERMARKET,VENDOR
R00001,1,"Shop 4 Kurla West, Mumbai 400070",ADDRESS
R00001,2,Ph: 9820044556,ADDRESS
R00001,3,GST Reg No: 27AAACR5055K1Z7,GSTIN
R00001,4,GST INVOICE,OTHER
R00001,5,--------------------------------------------,OTHER
R00001,6,Inv No: TI-2024-29257,INVOICE
R00001,7,Date of Supply: 12.01.2025,DATE
R00001,8,--------------------------------------------,OTHER
R00001,9,Item                     Qty          Amount,OTHER
R00001,10,Sugar 1kg                  1           54.18,ITEM
R00001,11,Atta 5kg                   1          290.86,ITEM
R00001,12,Toor Dal 1kg               1          116.56,ITEM
R00001,13,--------------------------------------------,OTHER
R00001,14,Sub Total:                            461.60,SUBTOTAL
R00001,15,CGST @ 2.5%:                           11.54,TAX
R00001,16,SGST @ 2.5%:                           11.54,TAX
R00001,17,Round Off:                              0.32,TAX
R00001,18,Net Payable:                          485.00,TOTAL
R00001,19,--------------------------------------------,OTHER
R00001,20,*** CUSTOMER COPY ***,FOOTER
R00001,21,Card Payment,FOOTER
R00002,0,RELIANCE FRESH SUPERMARKET,VENDOR
R00002,1,"Shop 4 Kurla West, Mumbai 400070",ADDRESS
R00002,2,Ph: 9820044556,ADDRESS
R00002,3,GSTIN: 27AAACR5055K1Z7,GSTIN
R00002,4,GST INVOICE,OTHER
R00002,5,--------------------------------------------,OTHER
R00002,6,Invoice No: RCPT-2024-47053,INVOICE
R00002,7,Dated: 29/01/2025,DATE
R00002,8,--------------------------------------------,OTHER
R00002,9,Item                     Qty          Amount,OTHER
R00002,10,Atta 5kg                   3          950.58,ITEM
R00002,11,Sugar 1kg                  4          206.60,ITEM
R00002,12,Milk 1L                    1           61.94,ITEM
R00002,13,Sugar 1kg                  3          157.17,ITEM
R00002,14,--------------------------------------------,OTHER
R00002,15,"Taxable Value:                      1,376.29",SUBTOTAL
R00002,16,CGST @ 2.5%:                           34.41,TAX
R00002,17,SGST @ 2.5%:                           34.40,TAX
R00002,18,Round Off:                             -0.10,TAX
R00002,19,"Grand Total:                       ₹1,445.00",TOTAL
R00002,20,--------------------------------------------,OTHER
R00002,21,*** CUSTOMER COPY ***,FOOTER
R00003,0,BENGAL BOOK DEPOT,VENDOR
R00003,1,"6 Park Street, Kolkata 700016",ADDRESS
R00003,2,Ph: 9830011234,ADDRESS
R00003,3,GST Reg No: 19AACCB3456W1ZT,GSTIN
R00003,4,TAX INVOICE,OTHER
R00003,5,--------------------------------------------,OTHER
R00003,6,Inv No: INV-2024-20878,INVOICE
R00003,7,Date of Supply: 09.01.2025,DATE
R00003,8,--------------------------------------------,OTHER
R00003,9,Item                     Qty          Amount,OTHER
R00003,10,A4 Paper Ream              4          914.80,ITEM
R00003,11,A4 Paper Ream              3          929.28,ITEM
R00003,12,Stapler                    4          914.08,ITEM
R00003,13,"Printer Ink                3        1,863.99",ITEM
R00003,14,A4 Paper Ream              3          686.13,ITEM
R00003,15,--------------------------------------------,OTHER
R00003,16,"Taxable Value:                      5,308.28",SUBTOTAL
R00003,17,IGST @ 18%:                           955.49,TAX
R00003,18,Round Off Adj:                          0.23,TAX
R00003,19,"Bill Total:                         6,264.00",TOTAL
R00003,20,--------------------------------------------,OTHER
R00003,21,THANK YOU VISIT AGAIN,FOOTER
R00003,22,Cash Payment,FOOTER
R00004,0,Mumbai Print Solutions LLP,VENDOR
R00004,1,"21 Lower Parel, Mumbai 400013",ADDRESS
R00004,2,Ph: 9820077331,ADDRESS
R00004,3,GST Reg No: 27AAFCM4455C1ZM,GSTIN
R00004,4,GST INVOICE,OTHER
R00004,5,--------------------------------------------,OTHER
R00004,6,"Bill Date: Jan 19, 2025",DATE
R00004,7,Invoice No: INV-2024-01114,INVOICE
R00004,8,--------------------------------------------,OTHER
R00004,9,Item                     Qty          Amount,OTHER
R00004,10,"Business Cards 500         1        1,062.16",ITEM
R00004,11,"Brochure Print 100         4       10,969.84",ITEM
R00004,12,"Business Cards 500         4        2,923.84",ITEM
R00004,13,Business Cards 500         1          767.47,ITEM
R00004,14,--------------------------------------------,OTHER
R00004,15,Total Qty: 10,OTHER
R00004,16,"Taxable Value:                     15,723.31",SUBTOTAL
R00004,17,"CGST @ 9%:                          1,415.10",TAX
R00004,18,"SGST @ 9%:                          1,415.10",TAX
R00004,19,Rounding:                               0.49,TAX
R00004,20,"Amount Payable:                   ₹18,554.00",TOTAL
R00004,21,--------------------------------------------,OTHER
R00004,22,Subject to local jurisdiction,FOOTER
R00004,23,UPI Payment,FOOTER
R00005,0,HYDERABAD BIRYANI HOUSE,VENDOR
R00005,1,"5 Gachibowli, Hyderabad 500081",ADDRESS
R00005,2,Ph: 9848012345,ADDRESS
R00005,3,GST No.: 36AADCH4567S1ZS,GSTIN
R00005,4,RETAIL INVOICE,OTHER
R00005,5,--------------------------------------------,OTHER
R00005,6,Invoice Number: RCPT-2024-14688,INVOICE
R00005,7,Bill Date: 19-04-2025,DATE
R00005,8,Table: 13   Covers: 1,OTHER
R00005,9,--------------------------------------------,OTHER
R00005,10,Item                     Qty          Amount,OTHER
R00005,11,Filter Coffee              1           60.45,ITEM
R00005,12,Butter Naan                2          132.16,ITEM
R00005,13,Filter Coffee              4          153.36,ITEM
R00005,14,Masala Dosa                4          487.44,ITEM
R00005,15,Butter Naan                4          168.24,ITEM
R00005,16,"Biryani                    3        1,066.41",ITEM
R00005,17,--------------------------------------------,OTHER
R00005,18,Total Qty: 18,OTHER
R00005,19,"Taxable Value:                      2,068.06",SUBTOTAL
R00005,20,CGST @ 2.5%:                           51.70,TAX
R00005,21,SGST @ 2.5%:                           51.70,TAX
R00005,22,Round Off:                             -0.46,TAX
R00005,23,"Bill Total:                        ₹2,171.00",TOTAL
R00005,24,--------------------------------------------,OTHER
R00005,25,Subject to local jurisdiction,FOOTER
R00006,0,RELIANCE FRESH SUPERMARKET,VENDOR
R00006,1,"Shop 4 Kurla West, Mumbai 400070",ADDRESS
R00006,2,Ph: 9820044556,ADDRESS
R00006,3,GSTIN/UIN: 27AAACR5055K1Z7,GSTIN
R00006,4,RETAIL INVOICE,OTHER
R00006,5,--------------------------------------------,OTHER
R00006,6,Receipt No: RCPT-2024-64700,INVOICE
R00006,7,Invoice Date: 23.02.2025,DATE
R00006,8,--------------------------------------------,OTHER
R00006,9,Item                     Qty          Amount,OTHER
R00006,10,Toor Dal 1kg               1          142.12,ITEM
R00006,11,Milk 1L                    3          208.68,ITEM
R00006,12,--------------------------------------------,OTHER
R00006,13,Total Qty: 4,OTHER
R00006,14,Subtotal:                             350.80,SUBTOTAL
R00006,15,CGST @ 2.5%:                            8.77,TAX
R00006,16,SGST @ 2.5%:                            8.77,TAX
R00006,17,Round Off:                             -0.34,TAX
R00006,18,Net Payable:                         ₹368.00,TOTAL
R00006,19,--------------------------------------------,OTHER
R00006,20,THANK YOU VISIT AGAIN,FOOTER
R00006,21,Cash Payment,FOOTER
R00007,0,RELIANCE FRESH SUPERMARKET,VENDOR
R00007,1,"Shop 4 Kurla West, Mumbai 400070",ADDRESS
R00007,2,GSTIN/UIN: 27AAACR5055K1Z7,GSTIN
R00007,3,CASH MEMO,OTHER
R00007,4,--------------------------------------------,OTHER
R00007,5,Cash Memo No: RCPT-2024-30898,INVOICE
R00007,6,"Date: Apr 08, 2025",DATE
R00007,7,--------------------------------------------,OTHER
R00007,8,Item                     Qty          Amount,OTHER
R00007,9,Sugar 1kg                  2          101.18,ITEM
