receipt_id,image_path,text_path,vendor_name,vendor_canonical,gstin,invoice_no,date,subtotal,cgst,sgst,igst,cess,round_off,total,template_id,noise_tier,rotation_deg
R00001,receipts_images/R00001.png,receipts_text/R00001.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,TI-2024-29257,2025-01-12,461.60,11.54,11.54,0.00,0.00,0.32,485.00,retail,0,0.0
R00002,receipts_images/R00002.png,receipts_text/R00002.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,RCPT-2024-47053,2025-01-29,1376.29,34.41,34.40,0.00,0.00,-0.10,1445.00,retail,1,0.55
R00003,receipts_images/R00003.png,receipts_text/R00003.txt,Bengal Book Depot,V013,19AACCB3456W1ZT,INV-2024-20878,2025-01-09,5308.28,0.00,0.00,955.49,0.00,0.23,6264.00,retail,2,-1.23
R00004,receipts_images/R00004.png,receipts_text/R00004.txt,Mumbai Print Solutions LLP,V019,27AAFCM4455C1ZM,INV-2024-01114,2025-01-19,15723.31,1415.10,1415.10,0.00,0.00,0.49,18554.00,b2b,3,-1.15
R00005,receipts_images/R00005.png,receipts_text/R00005.txt,Hyderabad Biryani House,V009,36AADCH4567S1ZS,RCPT-2024-14688,2025-04-19,2068.06,51.70,51.70,0.00,0.00,-0.46,2171.00,restaurant,0,0.0
R00006,receipts_images/R00006.png,receipts_text/R00006.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,RCPT-2024-64700,2025-02-23,350.80,8.77,8.77,0.00,0.00,-0.34,368.00,retail,1,0.9
R00007,receipts_images/R00007.png,receipts_text/R00007.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,RCPT-2024-30898,2025-04-08,3082.27,77.06,77.05,0.00,0.00,-0.38,3236.00,retail,1,-1.27
R00008,receipts_images/R00008.png,receipts_text/R00008.txt,Patel Stores,V012,24AAHCP6677V1Z8,TI-2025-44869,2025-05-16,2790.44,69.76,69.76,0.00,0.00,0.04,2930.00,retail,1,1.49
R00009,receipts_images/R00009.png,receipts_text/R00009.txt,Annapurna Restaurant,V002,29AABCA1234M1ZQ,TI-2025-33067,2025-07-01,1358.19,33.96,33.95,0.00,0.00,-0.10,1426.00,restaurant,2,-0.81
R00010,receipts_images/R00010.png,receipts_text/R00010.txt,Deccan Office Supplies,V010,36AAGCD8899T1Z8,INV-2024-40145,2025-05-13,1019.78,0.00,0.00,183.56,0.00,-0.34,1203.00,b2b,0,0.0
R00011,receipts_images/R00011.png,receipts_text/R00011.txt,Deccan Office Supplies,V010,36AAGCD8899T1Z8,RCPT-2025-11579,2025-07-26,1581.95,142.38,142.37,0.00,0.00,0.30,1867.00,b2b,0,0.0
R00012,receipts_images/R00012.png,receipts_text/R00012.txt,Patel Stores,V012,24AAHCP6677V1Z8,BILL-2024-65784,2025-03-14,2934.03,0.00,0.00,146.70,0.00,0.27,3081.00,retail,3,1.02
R00013,receipts_images/R00013.png,receipts_text/R00013.txt,Lucknow Travels Agencies,V015,09AAGCL1122Y1ZT,TI-2024-87611,2025-06-06,8168.92,204.23,204.22,0.00,0.00,-0.37,8577.00,b2b,1,-0.08
R00014,receipts_images/R00014.png,receipts_text/R00014.txt,Bharat Petroleum Outlet,V003,27AAACB1111P1ZW,TI-2024-53876,2025-06-12,1634.21,0.00,0.00,0.00,0.00,-0.21,1634.00,fuel,2,2.42
R00015,receipts_images/R00015.png,receipts_text/R00015.txt,Gujarat Enterprises,V011,24AABCG2244U1ZA,RCPT-2024-82269,2025-06-04,13459.83,1211.39,1211.38,0.00,0.00,0.40,15883.00,b2b,1,-0.61
R00016,receipts_images/R00016.png,receipts_text/R00016.txt,Cafe Coffee Junction,V018,29AAECC2233B1Z7,BILL-2024-40903,2025-01-20,1597.03,39.93,39.92,0.00,0.00,0.12,1677.00,restaurant,0,0.0
R00017,receipts_images/R00017.png,receipts_text/R00017.txt,Indian Oil Fuel Station,V008,33AAACI0123R1ZQ,BILL-2025-84965,2025-04-21,3895.38,0.00,0.00,0.00,0.00,-0.38,3895.00,fuel,0,0.0
R00018,receipts_images/R00018.png,receipts_text/R00018.txt,Reliance Fresh Supermarket,V004,27AAACR5055K1Z7,BILL-2024-24585,2025-03-08,2501.37,62.54,62.53,0.00,0.00,-0.44,2626.00,retail,0,0.0
R00019,receipts_images/R00019.png,receipts_text/R00019.txt,Mumbai Print Solutions LLP,V019,27AAFCM4455C1ZM,RCPT-2024-86458,2025-02-28,7915.37,0.00,0.00,1424.77,0.00,-0.14,9340.00,b2b,0,0.0
R00020,receipts_images/R00020.png,receipts_text/R00020.txt,Hotel Sunrise Residency,V005,07AACCH9012Q1Z8,INV-2024-52776,2025-05-03,28083.59,1685.02,1685.01,0.00,0.00,0.38,31454.00,b2b,2,-2.26
R00021,receipts_images/R00021.png,receipts_text/R00021.txt,Park Street Cafe,V014,19AAFCP7890X1ZW,TI-2025-91166,2025-06-28,2308.58,0.00,0.00,115.43,0.00,-0.01,2424.00,restaurant,2,-0.47
R00022,receipts_images/R00022.png,receipts_text/R00022.txt,Hotel Sunrise Residency,V005,07AACCH9012Q1Z8,TI-2025-43460,2025-05-15,26642.91,1598.58,1598.57,0.00,0.00,-0.06,29840.00,b2b,2,-1.31
R00023,receipts_images/R00023.png,receipts_text/R00023.txt,Hyderabad Biryani House,V009,36AADCH4567S1ZS,INV-2025-13283,2025-09-01,1492.74,37.32,37.32,0.00,0.00,-0.38,1567.00,restaurant,1,1.27
R00024,receipts_images/R00024.png,receipts_text/R00024.txt,Bharat Petroleum Outlet,V003,27AAACB1111P1ZW,INV-2024-83713,2025-07-17,4730.06,0.00,0.00,0.00,0.00,-0.06,4730.00,fuel,0,0.0
R00025,receipts_images/R00025.png,receipts_text/R00025.txt,Ganga Departmental Store,V016,09AABCG5566Z1ZD,TI-2025-07151,2025-06-27,1581.88,39.55,39.54,0.00,0.00,0.03,1661.00,retail,1,-0.01
R00026,receipts_images/R00026.png,receipts_text/R00026.txt,Park Street Cafe,V014,19AAFCP7890X1ZW,RCPT-2025-41230,2025-07-01,2065.86,51.65,51.64,0.00,0.00,-0.15,2169.00,restaurant,0,0.0
R00027,receipts_images/R00027.png,receipts_text/R00027.txt,Ganga Departmental Store,V016,09AABCG5566Z1ZD,RCPT-2024-69860,2025-07-25,1079.69,26.99,26.99,0.00,0.00,0.33,1134.00,retail,1,1.22
R00028,receipts_images/R00028.png,receipts_text/R00028.txt,Bharat Petroleum Outlet,V003,27AAACB1111P1ZW,RCPT-2025-47590,2025-02-06,4601.12,0.00,0.00,0.00,0.00,-0.12,4601.00,fuel,0,0.0
R00029,receipts_images/R00029.png,receipts_text/R00029.txt,Annapurna Restaurant,V002,29AABCA1234M1ZQ,RCPT-2025-98334,2025-05-20,790.02,19.75,19.75,0.00,0.00,0.48,830.00,restaurant,1,0.42
R00030,receipts_images/R00030.png,receipts_text/R00030.txt,Cafe Coffee Junction,V018,29AAECC2233B1Z7,RCPT-2024-69264,2025-06-17,1319.64,32.99,32.99,0.00,0.00,0.38,1386.00,restaurant,2,1.61
R00031,receipts_images/R00031.png,receipts_text/R00031.txt,Sharma Traders Pvt Ltd,V001,29AAGCB7383J1Z4,TI-2024-15539,2025-06-24,6046.32,544.17,544.17,0.00,0.00,0.34,7135.00,b2b,0,0.0
R00032,receipts_images/R00032.png,receipts_text/R00032.txt,Lucknow Travels Agencies,V015,09AAGCL1122Y1ZT,BILL-2025-75703,2025-05-19,18896.87,472.42,472.42,0.00,0.00,0.29,19842.00,b2b,0,0.0
R00033,receipts_images/R00033.png,receipts_text/R00033.txt,Apollo Pharmacy Outlet,V020,33AAACA6677D1ZW,TI-2024-18323,2025-03-05,714.23,42.86,42.85,0.00,0.00,0.06,800.00,retail,0,0.0
R00034,receipts_images/R00034.png,receipts_text/R00034.txt,Bharat Petroleum Outlet,V003,27AAACB1111P1ZW,BILL-2024-00079,2025-04-12,774.99,0.00,0.00,0.00,0.00,0.01,775.00,fuel,0,0.0
R00035,receipts_images/R00035.png,receipts_text/R00035.txt,Patel Stores,V012,24AAHCP6677V1Z8,TI-2024-65593,2025-06-17,794.58,19.87,19.86,0.00,0.00,-0.31,834.00,retail,2,-0.44
R00036,receipts_images/R00036.png,receipts_text/R00036.txt,Kumar Medicals,V006,07AAFCK3321L1ZK,INV-2024-45403,2025-08-19,2482.78,148.97,148.96,0.00,0.00,0.29,2781.00,retail,1,0.94
R00037,receipts_images/R00037.png,receipts_text/R00037.txt,Mumbai Print Solutions LLP,V019,27AAFCM4455C1ZM,BILL-2025-26491,2025-01-23,12135.82,1092.23,1092.22,0.00,0.00,-0.27,14320.00,b2b,0,0.0
R00038,receipts_images/R00038.png,receipts_text/R00038.txt,Apollo Pharmacy Outlet,V020,33AAACA6677D1ZW,TI-2024-04074,2025-06-09,1559.41,93.57,93.56,0.00,0.00,0.46,1747.00,retail,0,0.0
R00039,receipts_images/R00039.png,receipts_text/R00039.txt,Gujarat Enterprises,V011,24AABCG2244U1ZA,INV-2024-58225,2025-02-03,8411.53,757.04,757.04,0.00,0.00,0.39,9926.00,b2b,2,-0.35
R00040,receipts_images/R00040.png,receipts_text/R00040.txt,Annapurna Restaurant,V002,29AABCA1234M1ZQ,INV-2024-88723,2025-08-16,1480.36,37.01,37.01,0.00,0.00,-0.38,1554.00,restaurant,2,-1.88
R00041,receipts_images/R00041.png,receipts_text/R00041.txt,Lucknow Travels Agencies,V015,09AAGCL1122Y1ZT,RCPT-2025-95952,2025-02-20,4948.19,123.71,123.70,0.00,0.00,0.40,5196.00,b2b,1,0.28
R00042,receipts_images/R00042.png,receipts_text/R00042.txt,Cafe Coffee Junction,V018,29AAECC2233B1Z7,TI-2025-87261,2025-07-24,1228.57,30.72,30.71,0.00,0.00,0.00,1290.00,restaurant,2,-2.4
R00043,receipts_images/R00043.png,receipts_text/R00043.txt,Bengal Book Depot,V013,19AACCB3456W1ZT,RCPT-2024-71717,2025-04-20,1996.41,0.00,0.00,359.35,0.00,0.24,2356.00,retail,1,-1.05
R00044,receipts_images/R00044.png,receipts_text/R00044.txt,Apollo Pharmacy Outlet,V020,33AAACA6677D1ZW,BILL-2024-76178,2025-08-03,1206.93,72.42,72.41,0.00,0.00,0.24,1352.00,retail,3,-0.2
R00045,receipts_images/R00045.png,receipts_text/R00045.txt,Lucknow Travels Agencies,V015,09AAGCL1122Y1ZT,RCPT-2025-19051,2025-01-26,12292.83,307.32,307.32,0.00,0.00,-0.47,12907.00,b2b,0,0.0
