vendor_canonical,vendor_name,gstin,category,city
V001,Sharma Traders Pvt Ltd,29AAGCB7383J1Z4,stationery,Bengaluru
V002,Annapurna Restaurant,29AABCA1234M1ZQ,food,Bengaluru
V003,Bharat Petroleum Outlet,27AAACB1111P1ZW,fuel,Mumbai
V004,Reliance Fresh Supermarket,27AAACR5055K1Z7,grocery,Mumbai
V005,Hotel Sunrise Residency,07AACCH9012Q1Z8,hotel,New Delhi
V006,Kumar Medicals,07AAFCK3321L1ZK,pharmacy,New Delhi
V007,Saravana Bhavan,33AAECS7788N1ZJ,food,Chennai
V008,Indian Oil Fuel Station,33AAACI0123R1ZQ,fuel,Chennai
V009,Hyderabad Biryani House,36AADCH4567S1ZS,food,Hyderabad
V010,Deccan Office Supplies,36AAGCD8899T1Z8,stationery,Hyderabad
V011,Gujarat Enterprises,24AABCG2244U1ZA,hardware,Ahmedabad
V012,Patel Stores,24AAHCP6677V1Z8,grocery,Surat
V013,Bengal Book Depot,19AACCB3456W1ZT,stationery,Kolkata
V014,Park Street Cafe,19AAFCP7890X1ZW,food,Kolkata
V015,Lucknow Travels Agencies,09AAGCL1122Y1ZT,travel,Lucknow
V016,Ganga Departmental Store,09AABCG5566Z1ZD,grocery,Kanpur
V017,Shell Select Fuel Point,29AAACS9911A1ZI,fuel,Bengaluru
V018,Cafe Coffee Junction,29AAECC2233B1Z7,food,Bengaluru
V019,Mumbai Print Solutions LLP,27AAFCM4455C1ZM,printing,Mumbai
V020,Apollo Pharmacy Outlet,33AAACA6677D1ZW,pharmacy,Chennai
